Test ID,easting__N,northing__,GWD (m),Elevation,L (m),Slope (%),PGA (g),4m_Qtn_med,4m_Qtn_std,4m_Qtncs_m,4m_Qtncs_s,4m_Ic_med,4m_Ic_std,Target,CM pred
15635.000000000000000,1577646.781879999907687,5182056.483500000089407,1.300895929336548,1.123009085655212,211.770466067273134,0.905948281288147,0.532398283481598,123.393393297734761,29.687987513477729,123.393393297734761,23.853784521130876,1.625464024338929,0.112291447074618,0,TN
15629.000000000000000,1577685.361749999923632,5181809.053299999795854,1.788212299346924,2.044325113296509,115.795053124801001,0.451033920049667,0.542306661605835,135.790982168077932,57.859159332498209,135.790982168077932,34.965532103368091,1.626258368228026,0.358777735334052,0,TN
183.000000000000000,1577700.887709999922663,5181709.123630000278354,1.637517213821411,2.003796577453613,137.265347626509680,0.941866040229797,0.545783579349518,57.391220345500457,29.487417242259149,129.140239588954188,38.641062794738005,4.569981840801223,0.434698416682868,1,TP
158.000000000000000,1577726.101899999659508,5181964.881889999844134,1.165642976760864,0.992153584957123,73.885082278883928,2.699289560317993,0.535794198513031,93.298967913336597,55.197158010821255,94.733151673444837,32.039927491831364,1.766341639870006,0.462708332576527,0,TN
180.000000000000000,1577730.653560000006109,5182267.491019999608397,2.121363878250122,1.933610796928406,119.745094952069678,1.187781333923340,0.528980135917664,71.900439717157056,20.445401745270484,94.189786465263538,9.524547502894725,1.864985268341437,0.162699772761475,0,TN
173.000000000000000,1577742.259510000003502,5181913.117959999479353,1.288666367530823,1.191561102867126,40.633052395297902,2.766043186187744,0.539045095443726,41.258687231996262,33.978625689369331,107.779190529802051,44.619627959423887,3.812432115662752,0.565191088571747,1,TP
161.000000000000000,1577800.298699999926612,5182116.622859999537468,1.884514570236206,1.692008376121521,64.008641601601042,0.173424988985062,0.535901963710785,38.881188118811892,38.076909432653906,81.374368713993718,16.628922555378434,1.995113086971960,0.266370347249601,1,FN
179.000000000000000,1577822.500689999898896,5182072.371040000580251,1.482129693031311,1.488146543502809,3.208724460259404,3.220947980880737,0.539283394813538,49.887695457048892,36.819986487800712,119.307429410482158,48.249848343364391,4.489649006099889,0.464711811472080,1,TP
170.000000000000000,1577822.546270000049844,5182279.418250000104308,1.809964060783386,2.104902505874634,7.098528445340349,1.904443383216858,0.532439410686493,41.231327982183153,36.201413505587787,107.963904936210952,47.439254548307858,4.482875074555679,0.580077467735132,0,FP
184.000000000000000,1577822.546270000049844,5182279.418250000104308,1.809964060783386,2.104902505874634,7.098528445340349,1.904443383216858,0.532439410686493,44.157798417775624,32.708334574354652,111.798826351661759,42.861834924885642,4.421907967685653,0.310332342695265,0,FP
178.000000000000000,1577857.454669999657199,5182162.605719999410212,1.723188996315002,1.754743456840515,7.538969917972027,0.962259590625763,0.535901963710785,31.222615099549362,12.458568679728250,94.848232586375616,16.326025800456051,4.557669054485946,0.329698254987848,1,TP
15767.000000000000000,1577915.893239999655634,5182061.727359999902546,1.120904207229614,1.488165259361267,43.390474155976250,0.580253124237061,0.542621433734894,104.714377480166092,37.989499358714092,104.714605314403400,26.829406856503038,1.633373288756511,0.256528727021443,0,TN
38484.000000000000000,1574896.821270000189543,5184684.185909999534488,2.418100833892822,3.392663002014160,1506.731321378955272,0.892346978187561,0.397815257310867,109.836943199995360,59.559092995999563,109.836943199995360,39.610017082547202,1.639565927244313,0.389313767212969,0,TN
25645.000000000000000,1574901.100000000093132,5184674.000000000000000,2.418100833892822,3.367697954177856,1496.243004752609522,1.016843914985657,0.397815257310867,43.331129460376751,69.621383568148715,97.737090653883882,43.641755283865955,2.186397858241651,0.560975262305659,0,TN
38483.000000000000000,1574901.945620000129566,5184697.754269999451935,2.390335083007812,3.292109012603760,1507.054125383904420,1.384756445884705,0.400288015604019,126.229303250538706,54.333214108137312,126.229303250538706,38.690364884124008,1.575626999590580,0.305864327807007,0,TN
38482.000000000000000,1574916.013160000089556,5184698.250950000248849,2.368753433227539,3.285925388336182,1489.353129630561170,0.582385718822479,0.400288015604019,148.168037675526534,110.812347352961766,149.915285766451575,52.216206303439520,1.520856362848618,0.321262533279997,1,FN
43479.000000000000000,1574917.799399999901652,5184631.177670000120997,1.611433148384094,2.914044141769409,1454.624037150556660,1.832709789276123,0.400288015604019,120.729263448752135,47.268616659666435,123.665460224002146,29.604773379433031,1.684482172537950,0.260358760728364,0,TN
26301.000000000000000,1574923.239979999838397,5184776.907980000600219,1.280091166496277,2.212277889251709,1524.680396505094677,1.353169441223145,0.397167950868607,95.848019801980215,43.832126638828335,102.630696739440879,29.958565238436183,1.714510790541681,0.267053929487767,1,TP
25647.000000000000000,1574923.800000000046566,5184679.500000000000000,2.318737506866455,3.224749565124512,1469.793515229585864,0.267053276300430,0.400288015604019,134.242116238226060,84.735201884918752,135.506283040471487,45.824725941995837,1.638579433087118,0.371580317937747,0,TN
38706.000000000000000,1574936.889999999897555,5184749.830000000074506,1.516597867012024,2.307100296020508,1491.573815780794121,2.303804636001587,0.397167950868607,121.348756766544469,68.458829538156721,125.221442822919272,42.354789011284474,1.693041661614542,0.253435952781750,1,FN
34643.000000000000000,1574936.899999999906868,5184749.700000000186265,1.516597867012024,2.307100296020508,1491.485173360635372,2.303804636001587,0.397167950868607,121.348756766544469,68.458829538156721,125.221442822919272,42.354789011284474,1.693041661614542,0.253435952781750,1,FN
33251.000000000000000,1574940.560400000074878,5184598.722009999677539,1.671823024749756,2.507290601730347,1410.880414816726443,0.946592092514038,0.403432130813599,110.415404189549633,49.211094248065777,110.698517924557947,30.182485310071296,1.700848768833403,0.351247150428554,0,TN
