Test ID,easting__N,northing__,GWD (m),Elevation,L (km),Slope (%),PGA (g),qc1Ncs_med,qc1Ncs_std,Ic_med,Ic_std,Target,Displ (m)
15635.0,1577646.78188,5182056.4835,1.300895929336548,1.123009085655212,0.21177046606727312,0.905948281288147,0.532398283481598,123.39339329773476,23.853784521130876,1.625464024338929,0.112291447074618,0,0.195432066917419
15629.0,1577685.36175,5181809.0533,1.788212299346924,2.044325113296509,0.115795053124801,0.451033920049667,0.542306661605835,135.79098216807793,34.96553210336809,1.626258368228026,0.358777735334052,0,0.23976269364357
183.0,1577700.88771,5181709.12363,1.637517213821411,2.003796577453613,0.1372653476265097,0.941866040229797,0.545783579349518,129.1402395889542,38.641062794738005,4.569981840801223,0.434698416682868,1,0.3773584365844729
158.0,1577726.1018999997,5181964.88189,1.165642976760864,0.992153584957123,0.07388508227888395,2.699289560317993,0.535794198513031,94.73315167344485,32.039927491831364,1.766341639870006,0.462708332576527,0,0.241754904389381
180.0,1577730.65356,5182267.49102,2.121363878250122,1.933610796928406,0.11974509495206968,1.18778133392334,0.528980135917664,94.18978646526352,9.524547502894723,1.864985268341437,0.162699772761475,0,0.156149625778198
173.0,1577742.25951,5181913.1179599995,1.288666367530823,1.191561102867126,0.0406330523952979,2.766043186187744,0.539045095443726,107.77919052980204,44.61962795942389,3.812432115662752,0.565191088571747,1,0.370479851961136
161.0,1577800.2987,5182116.62286,1.884514570236206,1.692008376121521,0.06400864160160104,0.173424988985062,0.535901963710785,81.37436871399372,16.628922555378434,1.99511308697196,0.266370347249601,1,0.3169502019882199
179.0,1577822.50069,5182072.371040001,1.482129693031311,1.488146543502809,0.003208724460259404,3.220947980880737,0.539283394813538,119.30742941048216,48.24984834336439,4.489649006099889,0.46471181147208,1,0.3874901533126829
170.0,1577822.54627,5182279.41825,1.809964060783386,2.104902505874634,0.0070985284453403494,1.904443383216858,0.532439410686493,107.96390493621097,47.43925454830786,4.482875074555679,0.580077467735132,0,0.292347341775894
184.0,1577822.54627,5182279.41825,1.809964060783386,2.104902505874634,0.0070985284453403494,1.904443383216858,0.532439410686493,111.79882635166176,42.86183492488564,4.421907967685653,0.310332342695265,0,0.292347341775894
178.0,1577857.4546699997,5182162.605719999,1.723188996315002,1.754743456840515,0.007538969917972027,0.962259590625763,0.535901963710785,94.8482325863756,16.32602580045605,4.557669054485946,0.329698254987848,1,0.686254620552063
15767.0,1577915.8932399997,5182061.72736,1.120904207229614,1.488165259361267,0.04339047415597625,0.580253124237061,0.542621433734894,104.7146053144034,26.82940685650304,1.633373288756511,0.256528727021443,0,0.150425732135773
38484.0,1574896.82127,5184684.18591,2.418100833892822,3.39266300201416,1.5067313213789553,0.892346978187561,0.397815257310867,109.83694319999536,39.6100170825472,1.639565927244313,0.389313767212969,0,0.2811421155929569
25645.0,1574901.1,5184674.0,2.418100833892822,3.367697954177856,1.4962430047526096,1.016843914985657,0.397815257310867,97.73709065388388,43.641755283865955,2.186397858241651,0.560975262305659,0,0.230235233902931
38483.0,1574901.94562,5184697.754269999,2.390335083007812,3.29210901260376,1.5070541253839045,1.384756445884705,0.400288015604019,126.2293032505387,38.69036488412401,1.57562699959058,0.305864327807007,0,0.2811421155929569
38482.0,1574916.01316,5184698.25095,2.368753433227539,3.285925388336182,1.489353129630561,0.582385718822479,0.400288015604019,149.91528576645155,52.21620630343952,1.520856362848618,0.321262533279997,1,0.318971365690231
43479.0,1574917.7994,5184631.17767,1.611433148384094,2.914044141769409,1.4546240371505568,1.832709789276123,0.400288015604019,123.66546022400215,29.60477337943303,1.68448217253795,0.260358760728364,0,0.173081383109093
26301.0,1574923.2399799998,5184776.907980001,1.280091166496277,2.212277889251709,1.5246803965050946,1.353169441223145,0.397167950868607,102.63069673944088,29.958565238436183,1.714510790541681,0.267053929487767,1,0.7210229635238651
25647.0,1574923.8,5184679.5,2.318737506866455,3.224749565124512,1.4697935152295858,0.26705327630043,0.400288015604019,135.5062830404715,45.82472594199584,1.638579433087118,0.371580317937747,0,0.233480170369148
38706.0,1574936.89,5184749.83,1.516597867012024,2.307100296020508,1.4915738157807938,2.303804636001587,0.397167950868607,125.22144282291929,42.354789011284474,1.693041661614542,0.25343595278175,1,0.643878936767578
34643.0,1574936.9,5184749.7,1.516597867012024,2.307100296020508,1.4914851733606351,2.303804636001587,0.397167950868607,125.22144282291929,42.354789011284474,1.693041661614542,0.25343595278175,1,0.643878936767578
33251.0,1574940.5604,5184598.72201,1.671823024749756,2.507290601730347,1.4108804148167264,0.946592092514038,0.403432130813599,110.69851792455793,30.182485310071296,1.700848768833403,0.351247150428554,0,0.176477804780006
43739.0,1574944.1299999997,5184810.58,1.274946451187134,2.129719734191895,1.5202669906252961,0.142425581812859,0.397167950868607,140.59695167753796,30.800221500837328,1.684596335943419,0.315609127282325,1,0.492302447557449
38707.0,1574944.99,5184753.95,1.476430535316467,2.226715087890625,1.4839224781516807,1.819276213645935,0.397167950868607,140.24062111748785,33.82619692431889,1.648866997052619,0.225757968786232,1,0.5565725564956671
34644.0,1574945.0,5184754.0,1.476430535316467,2.226715087890625,1.4839397687148672,1.819276213645935,0.397167950868607,140.24062111748785,33.82619692431889,1.648866997052619,0.225757968786232,1,0.5565725564956671
34645.0,1574951.6,5184724.8,1.961728096008301,2.652082204818726,1.4587428837733531,2.604229688644409,0.400288015604019,134.9635584597472,26.993329252829906,1.645773051125436,0.340851420420176,1,0.54559713602066
