Test ID,easting__N,northing__,GWD (m),L (m),Slope (%),Elevation,Target,CM pred
23998,1574625.517,5185484.601,2.548408031,2084.69808,0.455187559,4.38835144,1,FN
32905,1574625.709,5184939.939,2.976912975,1484.634577,0.596576929,5.05816412,0,TN
53615,1574626,5184836,3.728471756,1374.595123,0.803946257,5.642230034,0,TN
39389,1574626.432,5184619.535,3.154752731,1160.248112,2.149305105,4.573458195,0,TN
30775,1574627.531,5184692.616,3.842250347,1231.104248,3.066575527,5.217125893,1,FN
39391,1574628.544,5184638.312,3.29235816,1179.88151,2.267796516,4.888317585,1,FN
15361,1574632.315,5185432.621,1.817532897,2029.036839,1.315524101,3.907996893,1,FN
39591,1574633.085,5184549.037,3.547038555,1104.742985,1.727756858,5.034479141,0,TN
23996,1574633.112,5185570.068,3.046283245,2191.288011,0.854507625,4.644709587,0,TN
25571,1574636.32,5184928.47,3.16104126,1482.082571,3.928482294,5.158010006,0,TN
17857,1574638.98,5184658.453,2.712797165,1209.375904,2.637377977,4.748067856,0,TN
54834,1574640.21,5184826.19,3.922134638,1377.149449,1.209364057,5.717107773,0,TN
32236,1574640.74,5184813.13,3.922134638,1364.147661,0.712426364,5.537109852,1,FN
39388,1574641.39,5184619.591,2.691106796,1175.695541,1.776175976,4.624844074,0,TN
18760,1574643.081,5183871.211,2.883261919,396.3217896,0.213180557,3.750848055,0,TN
5631,1574643.122,5184807.645,3.509797096,1360.717257,0.712426364,5.587175846,1,FN
39390,1574644.499,5184631.598,2.691106796,1189.894759,3.210463285,4.793811798,0,TN
18761,1574644.918,5183979.199,2.416291237,545.5478612,0.928373039,3.468175173,0,TN
21591,1574645.986,5185623.017,3.085922241,2263.481289,1.250611424,4.997022629,0,TN
23217,1574645.986,5185623.017,3.085922241,2263.481289,1.250611424,4.997022629,0,TN
23233,1574645.998,5183932.617,2.636126041,481.1924486,0.468794435,3.571821928,0,TN
24627,1574653.003,5185662.732,2.981251955,2315.977179,2.57511425,4.679018021,0,TN
25575,1574655.39,5183901.81,2.776727676,438.6979186,0.614922166,3.869391441,0,TN
17046,1574655.688,5183743.142,3.14696002,219.4576523,0.238673791,3.824850082,0,TN
30364,1574656.781,5184590.774,2.781942129,1166.17452,3.174012423,4.823552608,0,TN
24629,1574656.902,5185618.649,3.085922241,2265.75917,2.916021585,4.666403294,0,TN
24599,1574660,5185633,3.085922241,2285.050085,2.404877901,4.636264324,0,TN
19127,1574660.938,5184677.196,2.829065323,1249.137291,3.517392874,3.800219536,0,TN
19125,1574662.219,5185667.03,2.981251955,2327.377883,1.73462224,4.514621735,1,FN
24628,1574664.698,5185657.534,2.314934254,2317.659839,2.562187672,4.429238319,1,FN
