,Test ID,easting__N,northing__,GWD (m),Elevation,L (m),Slope (%),Displ (m),PGA (g),Qtncs_med,Qtncs_std,Ic_med,Ic_std
534,37800.0,1575397.1347100001,5181710.0777900005,2.1065816879272456,5.097276210784912,1491.420305688007,0.227248013019562,0.181436687707901,0.496755719184875,116.8302651567926,22.04094215660516,1.6212677756081328,0.16931210131825752
535,25766.0,1575404.95,5182459.12,1.8251508474349984,3.160259008407593,1267.397020824614,0.513049423694611,0.086596697568893,0.47249835729599,98.26396314270755,24.102529450119643,2.044921919707246,0.24121641179110345
536,4558.0,1575406.34037,5182442.449,1.8251508474349984,3.303016662597656,1290.4006701447347,1.7439738512039182,0.060193371027708,0.47249835729599,122.96085167565693,20.490912370542606,1.7048747180503634,0.1207582514262166
537,43776.0,1575407.68,5182177.1,3.5500855445861816,5.5000319480896,1375.7424265477039,0.766329109668732,0.29604169726371804,0.482748657464981,102.46974021648765,10.665071367387227,1.7888969244869275,0.28204004241587
538,25768.0,1575411.09,5182205.87,3.602030277252197,5.535571575164795,1374.64598775081,0.196810826659203,0.279630571603775,0.479315400123596,104.76790138535759,12.86192206936316,1.7697361437922678,0.2570356999709525
539,25771.0,1575415.34,5182448.8,1.8137089014053336,3.250195264816284,1284.0292750496892,1.228674054145813,0.068812675774097,0.47249835729599,150.65000085426996,16.050193422853447,1.646677419286244,0.12376856087329455
540,11537.0,1575416.38299,5182162.03993,3.43281364440918,5.551389217376709,1391.0074290956384,1.0436387062072752,0.284443408250809,0.482748657464981,105.87282194833006,16.699432193981092,1.7906269358936229,0.21476233029205846
541,11061.0,1575419.8788299998,5182278.57399,3.315679550170898,4.893914699554443,1377.30519409424,3.607508420944214,0.6448794603347779,0.479315400123596,84.5096194803802,21.692274551386557,1.8852702539677089,0.2384542749847536
542,43775.0,1575424.67,5182190.04,3.570237398147583,5.550952434539795,1396.1679280506687,0.7519569993019101,0.473175644874573,0.482748657464981,99.58072786234577,16.235437966975812,1.9073833363050121,0.40224866005619786
543,10714.0,1575430.3087799998,5181696.25434,2.060153961181641,5.015814304351807,1540.6096876532858,0.676613688468933,0.117622084915638,0.496755719184875,123.6632040976397,20.997476644357928,1.6905376739059654,0.13082614114197802
544,25776.0,1575431.14,5182442.72,1.8137089014053336,3.384282827377319,1296.2577199914736,1.528171896934509,0.052908834069967,0.47249835729599,131.99301207339826,13.380554219972241,1.766795477268592,0.16364460178757587
545,15925.0,1575436.04477,5182606.464930001,3.0212116241455083,4.309434413909912,1075.3123614772594,1.841117262840271,0.102645725011826,0.469102263450623,101.93266008540778,20.859378621326407,1.7700275895622484,0.16136059997820734
546,50085.0,1575436.05528,5181874.810880001,2.91059398651123,5.665022373199463,1498.945289751849,0.180112138390541,0.214894697070122,0.489705383777618,134.3530361343398,48.704735160613254,1.6569336362660134,0.35555738769622325
547,4708.0,1575436.82629,5182527.16624,2.326634645462036,3.54295015335083,1182.9569347201762,2.57335638999939,0.17972429096698805,0.47249835729599,134.23939179248993,31.87095796780757,1.6034587738708461,0.18121187912116887
548,31167.0,1575437.83894,5182161.018730001,3.2054262161254883,5.473504543304443,1420.3647221178232,1.228401303291321,0.7813240885734559,0.482748657464981,96.94897389295431,13.516826404039586,1.7066712763984158,0.3064481431285197
549,54906.0,1575440.6299999997,5182322.73,2.308701753616333,3.857295751571655,1403.7647564743322,1.27709949016571,0.5635613203048709,0.475900769233704,123.46029629214041,9.38715532107393,1.7896369121973936,0.14189401143240254
550,50087.0,1575441.15726,5181938.46684,2.672676563262939,5.201716423034668,1491.172960737592,0.8450398445129391,0.343486756086349,0.489705383777618,116.60904013790443,33.0952660234263,1.6612543527751606,0.21054948375856536
551,11318.0,1575442.12821,5182354.2246199995,1.828021049499512,3.548403263092041,1405.9547927231397,0.7767910957336429,0.4081891477108,0.475900769233704,121.46277260758005,12.596529824965938,1.6966907310641195,0.1086272365571923
552,889.0,1575444.22094,5182203.08035,3.406654834747314,5.357039451599121,1420.3909050039645,0.5104917287826539,0.6181848645210269,0.479315400123596,100.18806260989143,10.242669508341518,2.033175676575526,0.21558440957586505
