Test ID,easting__N,northing__,GWD (m),Elevation,L (m),Slope (%),PGA (g),Target,CM pred
182.000000000000000,1577615.165620000101626,5181561.600669999606907,0.370808690786362,0.909115791320801,319.116998505932258,5.465738773345947,0.546270251274109,0,TN
15635.000000000000000,1577646.781879999907687,5182056.483500000089407,1.300895929336548,1.123009085655212,211.770466067273134,0.905948281288147,0.532398283481598,0,TN
8292.000000000000000,1577653.879379999823868,5182039.920269999653101,1.300895929336548,0.847857534885406,195.947249762326010,0.849103987216949,0.532398283481598,0,TN
15629.000000000000000,1577685.361749999923632,5181809.053299999795854,1.788212299346924,2.044325113296509,115.795053124801001,0.451033920049667,0.542306661605835,0,TN
183.000000000000000,1577700.887709999922663,5181709.123630000278354,1.637517213821411,2.003796577453613,137.265347626509680,0.941866040229797,0.545783579349518,1,TP
158.000000000000000,1577726.101899999659508,5181964.881889999844134,1.165642976760864,0.992153584957123,73.885082278883928,2.699289560317993,0.535794198513031,0,TN
180.000000000000000,1577730.653560000006109,5182267.491019999608397,2.121363878250122,1.933610796928406,119.745094952069678,1.187781333923340,0.528980135917664,0,TN
173.000000000000000,1577742.259510000003502,5181913.117959999479353,1.288666367530823,1.191561102867126,40.633052395297902,2.766043186187744,0.539045095443726,1,TP
161.000000000000000,1577800.298699999926612,5182116.622859999537468,1.884514570236206,1.692008376121521,64.008641601601042,0.173424988985062,0.535901963710785,1,FN
179.000000000000000,1577822.500689999898896,5182072.371040000580251,1.482129693031311,1.488146543502809,3.208724460259404,3.220947980880737,0.539283394813538,1,FN
170.000000000000000,1577822.546270000049844,5182279.418250000104308,1.809964060783386,2.104902505874634,7.098528445340349,1.904443383216858,0.532439410686493,0,TN
184.000000000000000,1577822.546270000049844,5182279.418250000104308,1.809964060783386,2.104902505874634,7.098528445340349,1.904443383216858,0.532439410686493,0,TN
178.000000000000000,1577857.454669999657199,5182162.605719999410212,1.723188996315002,1.754743456840515,7.538969917972027,0.962259590625763,0.535901963710785,1,FN
15767.000000000000000,1577915.893239999655634,5182061.727359999902546,1.120904207229614,1.488165259361267,43.390474155976250,0.580253124237061,0.542621433734894,0,TN
38484.000000000000000,1574896.821270000189543,5184684.185909999534488,2.418100833892822,3.392663002014160,1506.731321378955272,0.892346978187561,0.397815257310867,0,TN
25645.000000000000000,1574901.100000000093132,5184674.000000000000000,2.418100833892822,3.367697954177856,1496.243004752609522,1.016843914985657,0.397815257310867,0,TN
38483.000000000000000,1574901.945620000129566,5184697.754269999451935,2.390335083007812,3.292109012603760,1507.054125383904420,1.384756445884705,0.400288015604019,0,TN
38482.000000000000000,1574916.013160000089556,5184698.250950000248849,2.368753433227539,3.285925388336182,1489.353129630561170,0.582385718822479,0.400288015604019,1,FN
43479.000000000000000,1574917.799399999901652,5184631.177670000120997,1.611433148384094,2.914044141769409,1454.624037150556660,1.832709789276123,0.400288015604019,0,TN
26301.000000000000000,1574923.239979999838397,5184776.907980000600219,1.280091166496277,2.212277889251709,1524.680396505094677,1.353169441223145,0.397167950868607,1,TP
25647.000000000000000,1574923.800000000046566,5184679.500000000000000,2.318737506866455,3.224749565124512,1469.793515229585864,0.267053276300430,0.400288015604019,0,TN
38706.000000000000000,1574936.889999999897555,5184749.830000000074506,1.516597867012024,2.307100296020508,1491.573815780794121,2.303804636001587,0.397167950868607,1,TP
34643.000000000000000,1574936.899999999906868,5184749.700000000186265,1.516597867012024,2.307100296020508,1491.485173360635372,2.303804636001587,0.397167950868607,1,TP
33251.000000000000000,1574940.560400000074878,5184598.722009999677539,1.671823024749756,2.507290601730347,1410.880414816726443,0.946592092514038,0.403432130813599,0,TN
43739.000000000000000,1574944.129999999655411,5184810.580000000074506,1.274946451187134,2.129719734191895,1520.266990625296103,0.142425581812859,0.397167950868607,1,TP
38707.000000000000000,1574944.989999999990687,5184753.950000000186265,1.476430535316467,2.226715087890625,1483.922478151680707,1.819276213645935,0.397167950868607,1,TP
